,Country,Gender,Years IT / Programming Experience,Occupation,Compensation,Employment Status,Industry,Open to new job opportunities,How many hours programming as hobby per week?,Job Satisfaction
0.50558289,United States,Male,11+ years,Quality Assurance,"$80,000 - $100,000",Employed full-time,Internet,I am open to new job opportunities,2-5 hours per week,I'm somewhat dissatisfied with my job
0.717580849,United States,Male,11+ years,Back-end web developer,Rather not say,Employed full-time,Media / Advertising,I am open to new job opportunities,5-10 hours per week,I'm somewhat dissatisfied with my job
0.23584049,Philippines,Male,,,,,,,,
0.064648685,Germany,Male,2 - 5 years,Back-end web developer,Rather not say,Employed full-time,Web Services,,,I'm somewhat satisfied with my job
0.377734396,United Kingdom,Male,6 - 10 years,Front-end web developer,Rather not say,I'm a student,,I am actively looking for a new job,2-5 hours per week,
0.729266574,United States,Male,1 - 2 years,Data scientist,"$40,000 - $60,000",Employed full-time,Other (please specify),I am open to new job opportunities,1-2 hours per week,I love my job
0.960730696,Czech Republic,Male,11+ years,Back-end web developer,"$100,000 - $120,000",Freelance / Contractor,Software Products,I am open to new job opportunities,,I love my job
0.088316193,Poland,Male,2 - 5 years,Desktop developer,"Less than $20,000",Employed full-time,Other (please specify),I am open to new job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.982279325,India,Male,6 - 10 years,Desktop developer,"Less than $20,000",Employed full-time,Internet,I am not interested in other job opportunities,5-10 hours per week,I'm neither satisfied nor dissatisfied with my job
0.290936343,Canada,Male,2 - 5 years,Designer,"$120,000 - $140,000",Employed full-time,Software Products,I am not interested in other job opportunities,20+ hours per week,I'm somewhat satisfied with my job
0.561471972,United States,Male,6 - 10 years,Full-stack web developer,"$60,000 - $80,000",Employed full-time,Defense,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.226455824,Germany,Male,6 - 10 years,DevOps,,Employed full-time,Software Products,I am not interested in other job opportunities,,I'm somewhat satisfied with my job
0.7197144,Spain,Male,6 - 10 years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Internet,I am open to new job opportunities,1-2 hours per week,I'm somewhat dissatisfied with my job
0.52078182,China,Male,2 - 5 years,Machine learning developer,,,,,,
0.63030792,Germany,Male,11+ years,Desktop developer,"$40,000 - $60,000",Employed full-time,Education,I am open to new job opportunities,2-5 hours per week,I love my job
0.89625058,Canada,Male,2 - 5 years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Education,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.050260532,Brazil,Male,2 - 5 years,Mobile developer - Windows Phone,"$40,000 - $60,000",Employed full-time,Software Products,I am open to new job opportunities,5-10 hours per week,I'm somewhat dissatisfied with my job
0.925661745,Germany,Female,11+ years,Full-stack web developer,Rather not say,Employed full-time,Web Services,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.626193715,Italy,Male,2 - 5 years,Full-stack web developer,,Employed full-time,Finance / Banking,I am open to new job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.914908855,Sri Lanka,Male,2 - 5 years,Desktop developer,"Less than $20,000",Employed full-time,Gaming,I am open to new job opportunities,10-20 hours per week,I'm neither satisfied nor dissatisfied with my job
0.452623447,Germany,Male,2 - 5 years,Embedded application developer,"$40,000 - $60,000",Employed full-time,Media / Advertising,I am open to new job opportunities,10-20 hours per week,I love my job
0.086549506,Korea South,Male,,,,,,,,
0.722764781,India,Male,2 - 5 years,Mobile developer,"$20,000 - $40,000",Freelance / Contractor,,,,
0.598481074,Israel,Male,11+ years,Desktop developer,Rather not say,Unemployed,,I am actively looking for a new job,1-2 hours per week,
0.192165389,India,Female,,Student,,I'm a student,,I am open to new job opportunities,,
0.50494752,Canada,Male,1 - 2 years,Student,"Less than $20,000",I'm a student,,I am open to new job opportunities,None,
0.512811829,Spain,Male,,,,,,,,
0.963368374,Belgium,Male,1 - 2 years,Student,Rather not say,I'm a student,,I am not interested in other job opportunities,20+ hours per week,
0.016307447,India,Female,2 - 5 years,Front-end web developer,"Less than $20,000",Employed full-time,Software Products,I am actively looking for a new job,,I'm neither satisfied nor dissatisfied with my job
0.663300327,Finland,Male,11+ years,,"$40,000 - $60,000",Employed full-time,Education,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.135174744,United States,Male,6 - 10 years,Full-stack web developer,"$80,000 - $100,000",Employed full-time,Media / Advertising,I am not interested in other job opportunities,10-20 hours per week,I'm somewhat satisfied with my job
0.1889558,Germany,Male,6 - 10 years,Back-end web developer,"$60,000 - $80,000",Employed full-time,Retail,I am not interested in other job opportunities,None,I love my job
0.538657458,United Kingdom,Male,2 - 5 years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Internet,I am not interested in other job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.569333885,United States,Male,11+ years,,"$120,000 - $140,000",Employed full-time,Internet,I am open to new job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.435842526,Belgium,Male,11+ years,Designer,,Employed full-time,Other (please specify),,,I love my job
0.243683963,France,Male,2 - 5 years,,"$40,000 - $60,000",Employed full-time,Consulting,I am not interested in other job opportunities,None,I'm somewhat satisfied with my job
0.773935955,United States,Male,1 - 2 years,,,,,,,
0.306713328,India,Male,Less than 1 year,Full-stack web developer,"Less than $20,000",Employed full-time,Web Services,I am open to new job opportunities,1-2 hours per week,I love my job
0.423977196,United Kingdom,Male,2 - 5 years,Student,"Less than $20,000",I'm a student,,I am not interested in other job opportunities,5-10 hours per week,
0.884260396,Ukraine,Male,6 - 10 years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Finance / Banking,I am open to new job opportunities,10-20 hours per week,I'm somewhat satisfied with my job
0.369410051,United Kingdom,Male,11+ years,Embedded application developer,"$60,000 - $80,000",Employed full-time,Other (please specify),I am open to new job opportunities,None,I'm somewhat satisfied with my job
0.626716325,United States,Male,6 - 10 years,Back-end web developer,"$40,000 - $60,000",Employed full-time,Education,I am open to new job opportunities,5-10 hours per week,I'm somewhat dissatisfied with my job
0.737499034,N/A,Male,6 - 10 years,System administrator,Rather not say,I'm a student,,I am open to new job opportunities,10-20 hours per week,
0.809538882,Croatia,Male,,,,,,,,
0.758703565,Indonesia,Male,6 - 10 years,Mobile developer - Windows Phone,"Less than $20,000",Freelance / Contractor,Software Products,I am not interested in other job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.220285152,United States,Male,11+ years,Product manager,Rather not say,Employed full-time,Telecommunications,I am open to new job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.106028007,Sweden,Male,11+ years,,"$80,000 - $100,000",Employed full-time,Finance / Banking,I am open to new job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.127999509,India,Female,1 - 2 years,Full-stack web developer,"Less than $20,000",Employed full-time,Software Products,I am actively looking for a new job,1-2 hours per week,I'm somewhat dissatisfied with my job
0.133774821,Germany,Prefer not to disclose,11+ years,,,,,,,
0.624287652,India,Male,2 - 5 years,Back-end web developer,"Less than $20,000",Employed full-time,Internet,I am open to new job opportunities,1-2 hours per week,I'm somewhat dissatisfied with my job
0.806536141,United States,Male,2 - 5 years,Front-end web developer,"$80,000 - $100,000",Employed full-time,Education,I am open to new job opportunities,5-10 hours per week,I'm somewhat dissatisfied with my job
0.724134839,Australia,Male,6 - 10 years,,"$40,000 - $60,000",Freelance / Contractor,Telecommunications,I am open to new job opportunities,1-2 hours per week,I'm somewhat dissatisfied with my job
0.905705496,Australia,Male,6 - 10 years,Front-end web developer,"$100,000 - $120,000",Employed full-time,Software Products,I am not interested in other job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.835210632,Poland,Male,,,,,,,,
0.638553199,United States,Male,1 - 2 years,Student,,I'm a student,,,,
0.855055014,United States,Male,2 - 5 years,,,,,,,
0.504534662,India,Male,Less than 1 year,Mobile developer - Android,"Less than $20,000",Employed full-time,Healthcare,I am open to new job opportunities,2-5 hours per week,I love my job
0.198571256,Croatia,Male,11+ years,Full-stack web developer,,Employed full-time,Other (please specify),I am not interested in other job opportunities,2-5 hours per week,I love my job
0.281901044,India,Male,,,,,,,,
0.467053843,India,Female,2 - 5 years,,,,,,,
0.097638804,Germany,Male,1 - 2 years,Mobile developer - iOS,"Less than $20,000",I'm a student,,I am actively looking for a new job,,
0.570670789,Turkey,Male,6 - 10 years,Back-end web developer,"Less than $20,000",Employed part-time,Internet,I am open to new job opportunities,20+ hours per week,I'm neither satisfied nor dissatisfied with my job
0.314836413,Germany,Male,2 - 5 years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Other (please specify),I am open to new job opportunities,2-5 hours per week,I'm neither satisfied nor dissatisfied with my job
0.178691525,India,Male,2 - 5 years,Desktop developer,"Less than $20,000",Employed full-time,Retail,I am open to new job opportunities,10-20 hours per week,I'm somewhat satisfied with my job
0.36639309,Norway,Male,11+ years,Embedded application developer,,,,,,
0.21985738,France,Male,11+ years,,"$60,000 - $80,000",Employed full-time,Other (please specify),I am not interested in other job opportunities,2-5 hours per week,I love my job
0.599909879,United Kingdom,Male,1 - 2 years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Software Products,I am not interested in other job opportunities,,I'm somewhat satisfied with my job
0.979778546,United Kingdom,Male,2 - 5 years,Full-stack web developer,"Less than $20,000",Employed full-time,Software Products,I am not interested in other job opportunities,20+ hours per week,I love my job
0.275774786,United States,Male,6 - 10 years,Student,"$20,000 - $40,000",I'm a student,,I am not interested in other job opportunities,2-5 hours per week,
0.942652094,Finland,Male,11+ years,Full-stack web developer,,,,,,
0.768574108,United States,Male,6 - 10 years,Full-stack web developer,"$60,000 - $80,000",Employed full-time,Education,I am not interested in other job opportunities,10-20 hours per week,I'm somewhat satisfied with my job
0.200288624,Italy,Male,6 - 10 years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Media / Advertising,I am open to new job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.631954908,Brazil,Male,11+ years,Back-end web developer,"$60,000 - $80,000",Employed full-time,Software Products,I am open to new job opportunities,5-10 hours per week,I'm neither satisfied nor dissatisfied with my job
0.151974778,India,,,,,,,,,
0.349986995,Germany,Male,11+ years,Full-stack web developer,"$80,000 - $100,000",Employed full-time,Government,I am not interested in other job opportunities,1-2 hours per week,I love my job
0.95401229,United States,Male,2 - 5 years,Student,"Less than $20,000",I'm a student,,I am not interested in other job opportunities,1-2 hours per week,
0.977549003,India,Male,2 - 5 years,System administrator,"$20,000 - $40,000",Employed full-time,,,,
0.688225982,Sweden,Male,2 - 5 years,Back-end web developer,Rather not say,Employed full-time,Consulting,I am open to new job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.176317756,Poland,Male,6 - 10 years,Back-end web developer,Rather not say,Freelance / Contractor,Telecommunications,I am open to new job opportunities,2-5 hours per week,I love my job
0.97982942,United Kingdom,Male,2 - 5 years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Software Products,I am actively looking for a new job,None,I'm somewhat dissatisfied with my job
0.669982007,United Kingdom,Male,11+ years,,,,,,,
0.665279276,Australia,Male,6 - 10 years,Full-stack web developer,,Employed full-time,Finance / Banking,I am actively looking for a new job,5-10 hours per week,I'm somewhat dissatisfied with my job
0.338203503,Poland,Male,2 - 5 years,Full-stack web developer,"Less than $20,000",Employed full-time,Software Products,I am open to new job opportunities,,I'm neither satisfied nor dissatisfied with my job
0.878067028,N/A,Male,,,,,,,,
0.110658054,United Kingdom,Male,11+ years,Developer with a statistics or mathematics background,"$20,000 - $40,000",I'm a student,,I am actively looking for a new job,10-20 hours per week,
0.835871419,Greece,Male,6 - 10 years,Full-stack web developer,"Less than $20,000",Freelance / Contractor,Internet,I am not interested in other job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.926844108,Sweden,Male,1 - 2 years,System administrator,"$40,000 - $60,000",Employed full-time,Education,I am not interested in other job opportunities,5-10 hours per week,I love my job
0.782545971,Italy,Male,6 - 10 years,,"$20,000 - $40,000",Employed full-time,Other (please specify),I am open to new job opportunities,1-2 hours per week,I'm somewhat dissatisfied with my job
0.310312706,Ireland {Republic},Male,11+ years,Full-stack web developer,"$80,000 - $100,000",Employed full-time,Education,I am not interested in other job opportunities,5-10 hours per week,I love my job
0.485895733,Germany,Male,11+ years,,Rather not say,Employed full-time,Other (please specify),I am not interested in other job opportunities,,I love my job
0.88420667,Greece,Male,2 - 5 years,Student,Unemployed,I'm a student,,I am open to new job opportunities,20+ hours per week,
0.454827201,Italy,Male,2 - 5 years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Web Services,I am open to new job opportunities,2-5 hours per week,I love my job
0.342196833,Germany,Male,6 - 10 years,Desktop developer,"$60,000 - $80,000",Employed full-time,Internet,I am actively looking for a new job,1-2 hours per week,I'm somewhat dissatisfied with my job
0.253399985,United Kingdom,Male,Less than 1 year,,,,,,,
0.211550243,Italy,Male,Less than 1 year,,,,,,,
0.739491553,Romania,Male,11+ years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Government,I am not interested in other job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.5259597,Turkey,Male,1 - 2 years,Student,Unemployed,I'm a student,,I am open to new job opportunities,20+ hours per week,
0.264791383,Togo,Male,6 - 10 years,Graphics programmer,"Less than $20,000",Retired,,,,
0.507496466,Italy,Male,11+ years,,,,,,,
0.968980588,Spain,Male,2 - 5 years,Back-end web developer,"Less than $20,000",Employed full-time,Software Products,I am actively looking for a new job,1-2 hours per week,I'm somewhat dissatisfied with my job
0.925767662,Iran,Male,2 - 5 years,Mobile developer - Android,"Less than $20,000",Employed part-time,Consumer Products,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.109542563,Netherlands,Male,6 - 10 years,Full-stack web developer,"$60,000 - $80,000",Employed full-time,Healthcare,I am open to new job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.445946887,Canada,Male,11+ years,Back-end web developer,"$40,000 - $60,000",Employed full-time,Education,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.829256576,United Kingdom,Male,2 - 5 years,Graphics programmer,Rather not say,Employed full-time,Gaming,I am open to new job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.347650026,United States,Male,6 - 10 years,Full-stack web developer,"$100,000 - $120,000",Employed full-time,Media / Advertising,I am open to new job opportunities,5-10 hours per week,I love my job
0.956391174,Bulgaria,Male,1 - 2 years,Back-end web developer,Rather not say,Employed full-time,Software Products,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.34659283,Portugal,Male,2 - 5 years,Front-end web developer,"Less than $20,000",Employed full-time,Finance / Banking,I am open to new job opportunities,2-5 hours per week,I'm somewhat dissatisfied with my job
0.000476712,United States,Male,6 - 10 years,Quality Assurance,Rather not say,I'm a student,,I am open to new job opportunities,2-5 hours per week,
0.514940593,United Kingdom,Male,2 - 5 years,DevOps,"$60,000 - $80,000",Employed full-time,Other (please specify),I am not interested in other job opportunities,1-2 hours per week,I love my job
0.853117375,France,Male,11+ years,Back-end web developer,"$60,000 - $80,000",Employed full-time,Media / Advertising,I am open to new job opportunities,5-10 hours per week,I love my job
0.892726427,India,Male,2 - 5 years,Embedded application developer,"$20,000 - $40,000",Employed full-time,Software Products,,2-5 hours per week,I'm somewhat satisfied with my job
0.791090884,United States,Male,6 - 10 years,Quality Assurance,"$40,000 - $60,000",Employed full-time,Software Products,I am actively looking for a new job,2-5 hours per week,I'm neither satisfied nor dissatisfied with my job
0.375851485,Germany,Male,6 - 10 years,,,,,,,
0.968634525,Hungary,,,,,,,,,
0.009178494,India,Male,2 - 5 years,Full-stack web developer,"Less than $20,000",Employed full-time,Web Services,I am open to new job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.186324412,France,Male,6 - 10 years,Embedded application developer,"$100,000 - $120,000",Employed full-time,Aerospace,I am not interested in other job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.618735,Netherlands,Male,6 - 10 years,Desktop developer,Rather not say,Employed full-time,Manufacturing,I am not interested in other job opportunities,None,I'm somewhat satisfied with my job
0.932506969,United Kingdom,Other,2 - 5 years,,"$20,000 - $40,000",Employed full-time,Software Products,I am open to new job opportunities,,I'm somewhat dissatisfied with my job
0.28856663,United Kingdom,Male,6 - 10 years,Full-stack web developer,"$60,000 - $80,000",Employed full-time,Internet,I am not interested in other job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.573105815,Italy,Male,11+ years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Foundation / Non-Profit,I am open to new job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.761542611,Germany,Male,6 - 10 years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,,,,
0.840264109,Philippines,Male,11+ years,Embedded application developer,Rather not say,Employed full-time,Internet,I am not interested in other job opportunities,1-2 hours per week,I love my job
0.923333822,Bulgaria,Male,11+ years,Front-end web developer,"$20,000 - $40,000",Employed full-time,Media / Advertising,I am open to new job opportunities,10-20 hours per week,I'm somewhat satisfied with my job
0.439269848,United States,Male,11+ years,Full-stack web developer,"$80,000 - $100,000",Employed full-time,Software Products,I am open to new job opportunities,20+ hours per week,I'm somewhat satisfied with my job
0.363185567,Germany,Male,6 - 10 years,,"$60,000 - $80,000",Employed full-time,Software Products,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.428617094,United States,Male,2 - 5 years,Front-end web developer,"$120,000 - $140,000",Employed full-time,Web Services,I am not interested in other job opportunities,2-5 hours per week,I love my job
0.780916039,France,Male,2 - 5 years,Full-stack web developer,"$20,000 - $40,000",Freelance / Contractor,Internet,I am not interested in other job opportunities,2-5 hours per week,I love my job
0.355473589,Argentina,Male,11+ years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Finance / Banking,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.206903412,United States,Male,2 - 5 years,Mobile developer - Android,"$80,000 - $100,000",Employed full-time,,,,
0.68370882,Czech Republic,Male,6 - 10 years,,,,,,,
0.47636762,Ukraine,Female,1 - 2 years,Mobile developer - Android,"Less than $20,000",Employed full-time,Software Products,I am open to new job opportunities,5-10 hours per week,I love my job
0.404838977,Germany,Male,6 - 10 years,Back-end web developer,"$60,000 - $80,000",Employed full-time,Other (please specify),I am not interested in other job opportunities,1-2 hours per week,I'm neither satisfied nor dissatisfied with my job
0.046431428,Italy,Male,6 - 10 years,Mobile developer - iOS,Rather not say,Employed full-time,Software Products,I am open to new job opportunities,1-2 hours per week,I love my job
0.455729571,Switzerland,Male,6 - 10 years,Data scientist,"$20,000 - $40,000",Employed part-time,,,,
0.09819477,Peru,Male,Less than 1 year,Desktop developer,"Less than $20,000",Employed part-time,Healthcare,I am open to new job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.363814834,United Kingdom,Male,6 - 10 years,,"$40,000 - $60,000",Employed full-time,Media / Advertising,I am not interested in other job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.33055962,United Kingdom,Male,2 - 5 years,Embedded application developer,,Employed full-time,Software Products,I am open to new job opportunities,None,I'm somewhat satisfied with my job
0.99155808,United States,Male,6 - 10 years,Developer with a statistics or mathematics background,"More than $160,000",Employed full-time,Web Services,I am not interested in other job opportunities,None,I love my job
0.515985906,Hungary,Male,1 - 2 years,,,,,,,
0.204831107,United Kingdom,Male,2 - 5 years,Back-end web developer,"$20,000 - $40,000",Employed full-time,Education,I am open to new job opportunities,,I'm somewhat satisfied with my job
0.972982183,Poland,Male,2 - 5 years,Student,Unemployed,I'm a student,,I am not interested in other job opportunities,5-10 hours per week,
0.408941461,Iran,Male,,,,,,,,
0.568431846,Mexico,Male,2 - 5 years,Student,Rather not say,I'm a student,,I am open to new job opportunities,2-5 hours per week,
0.257338844,Poland,Male,11+ years,Back-end web developer,"$40,000 - $60,000",Freelance / Contractor,,,,
0.658538685,Sweden,Male,1 - 2 years,Student,"Less than $20,000",I'm a student,,I am open to new job opportunities,2-5 hours per week,
0.775678239,United States,Male,2 - 5 years,Full-stack web developer,Unemployed,I'm a student,,I am not interested in other job opportunities,10-20 hours per week,
0.839563006,United Kingdom,Female,Less than 1 year,,,,,,,
0.510225517,India,Male,1 - 2 years,Student,Unemployed,I'm a student,,I am open to new job opportunities,2-5 hours per week,
0.503613585,United States,Male,2 - 5 years,Mobile developer,Rather not say,Employed part-time,Gaming,I am not interested in other job opportunities,5-10 hours per week,I love my job
0.836905016,Turkey,Male,6 - 10 years,Back-end web developer,"Less than $20,000",Employed full-time,Media / Advertising,I am open to new job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.331826077,Iran,Female,2 - 5 years,,,,,,,
0.900936118,Israel,Male,2 - 5 years,,,,,,,
0.835068701,Portugal,Male,Less than 1 year,Back-end web developer,,Employed part-time,Web Services,I am open to new job opportunities,5-10 hours per week,I love my job
0.229559837,United States,Male,11+ years,Business intelligence or data warehousing expert,"More than $160,000",Employed full-time,Internet,I am open to new job opportunities,20+ hours per week,I'm somewhat satisfied with my job
0.200046794,Switzerland,Male,11+ years,Back-end web developer,"$60,000 - $80,000",Employed part-time,Internet,I am actively looking for a new job,1-2 hours per week,I'm somewhat dissatisfied with my job
0.408298493,Romania,Female,2 - 5 years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Internet,I am open to new job opportunities,None,I'm neither satisfied nor dissatisfied with my job
0.683196879,United States,Male,6 - 10 years,"Executive (VP of Eng., CTO, CIO, etc.)","$100,000 - $120,000",Employed full-time,Manufacturing,I am open to new job opportunities,2-5 hours per week,I'm neither satisfied nor dissatisfied with my job
0.816201026,Finland,Male,11+ years,Desktop developer,"$60,000 - $80,000",Employed full-time,Software Products,I am open to new job opportunities,None,I'm somewhat satisfied with my job
0.982260188,Poland,Male,2 - 5 years,Mobile developer - Android,"Less than $20,000",I'm a student,,I am open to new job opportunities,10-20 hours per week,
0.347195904,Mexico,Male,2 - 5 years,Full-stack web developer,"Less than $20,000",Employed part-time,Government,I am open to new job opportunities,10-20 hours per week,Other (please specify)
0.536945601,Turkey,Male,6 - 10 years,Full-stack web developer,"Less than $20,000",Employed full-time,Internet,I am open to new job opportunities,None,I love my job
0.631972723,United States,Male,1 - 2 years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Retail,I am not interested in other job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.796559025,Belgium,Male,2 - 5 years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Web Services,,,I'm neither satisfied nor dissatisfied with my job
0.62262553,United States,Male,11+ years,Full-stack web developer,,Employed full-time,Software Products,I am open to new job opportunities,2-5 hours per week,I'm neither satisfied nor dissatisfied with my job
0.561044417,United States,Male,Less than 1 year,Student,"$40,000 - $60,000",Employed part-time,Education,I am open to new job opportunities,5-10 hours per week,I'm somewhat satisfied with my job
0.415378804,United Kingdom,Male,1 - 2 years,Student,Unemployed,I'm a student,,I am not interested in other job opportunities,,
0.166591285,Canada,Male,6 - 10 years,Desktop developer,"$20,000 - $40,000",Employed full-time,Software Products,I am open to new job opportunities,,I'm somewhat satisfied with my job
0.617413726,India,Male,2 - 5 years,Front-end web developer,"Less than $20,000",Employed part-time,Internet,I am open to new job opportunities,2-5 hours per week,I'm neither satisfied nor dissatisfied with my job
0.782965452,Turkey,Male,11+ years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Internet,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.2033447,Antigua & Deps,Female,Less than 1 year,Full-stack web developer,"Less than $20,000",Employed full-time,Education,I am open to new job opportunities,,I'm somewhat satisfied with my job
0.420554409,United States,Male,11+ years,Database administrator,"$120,000 - $140,000",Employed full-time,Retail,I am not interested in other job opportunities,None,I'm somewhat satisfied with my job
