,Exp,Country,Occupation,Compensation,Industry
0.98050226,2 - 5 years,United States,Full-stack web developer,"$80,000 - $100,000",Defense
0.866759569,11+ years,United States,"Executive (VP of Eng., CTO, CIO, etc.)","More than $160,000",Software Products
0.002976601,2 - 5 years,India,DevOps,"$20,000 - $40,000",Software Products
0.873164233,1 - 2 years,United States,Full-stack web developer,"$40,000 - $60,000",Education
0.386225666,11+ years,United States,Full-stack web developer,Rather not say,Internet
0.56458485,6 - 10 years,United States,Front-end web developer,"$80,000 - $100,000",Internet
0.567547111,2 - 5 years,Moldova,Full-stack web developer,"Less than $20,000",Aerospace
0.144520507,6 - 10 years,Denmark,Full-stack web developer,"More than $160,000",Finance / Banking
0.374518654,2 - 5 years,Canada,Mobile developer,"$40,000 - $60,000",Media / Advertising
0.549419596,2 - 5 years,United Kingdom,Developer with a statistics or mathematics background,"More than $160,000",Finance / Banking
0.637072446,6 - 10 years,Canada,Back-end web developer,"$80,000 - $100,000",Consulting
0.65169721,Less than 1 year,India,Quality Assurance,"Less than $20,000",Software Products
0.112034362,11+ years,Germany,Desktop developer,"$40,000 - $60,000",Education
0.212541324,11+ years,Czech Republic,Back-end web developer,"$20,000 - $40,000",Software Products
0.915074594,11+ years,Germany,Data scientist,"$60,000 - $80,000",Foundation / Non-Profit
0.816985321,2 - 5 years,Moldova,Embedded application developer,"Less than $20,000",Software Products
0.018813181,11+ years,United States,Full-stack web developer,"$80,000 - $100,000",Healthcare
0.972384821,6 - 10 years,Denmark,System administrator,"$40,000 - $60,000",Retail
0.022266549,11+ years,Italy,Full-stack web developer,"$20,000 - $40,000",Software Products
0.350018262,2 - 5 years,Australia,Data scientist,"Less than $20,000",Education
0.703761929,2 - 5 years,Slovenia,Mobile developer - Android,"$60,000 - $80,000",Software Products
0.455919962,6 - 10 years,Armenia,Developer with a statistics or mathematics background,"$60,000 - $80,000",Consulting
0.004558948,2 - 5 years,United States,Enterprise level services developer,"$60,000 - $80,000",Defense
0.711730377,11+ years,Netherlands,Data scientist,"$40,000 - $60,000",Manufacturing
0.803843706,2 - 5 years,Colombia,Full-stack web developer,"$20,000 - $40,000",Web Services
0.399262202,11+ years,United States,Full-stack web developer,"$140,000 - $160,000",Education
0.802848017,11+ years,United States,Full-stack web developer,"$80,000 - $100,000",Defense
0.333027906,1 - 2 years,Poland,Full-stack web developer,"Less than $20,000",Internet
0.763471694,6 - 10 years,United States,Desktop developer,"$80,000 - $100,000",Government
0.764913003,2 - 5 years,France,Full-stack web developer,"$20,000 - $40,000",Media / Advertising
0.622222246,2 - 5 years,Poland,Full-stack web developer,"Less than $20,000",Software Products
0.008437805,11+ years,Switzerland,Full-stack web developer,"$60,000 - $80,000",Consumer Products
0.215123645,6 - 10 years,Romania,Full-stack web developer,"$20,000 - $40,000",Internet
0.979414209,11+ years,France,"Executive (VP of Eng., CTO, CIO, etc.)","$40,000 - $60,000",Media / Advertising
0.745300526,6 - 10 years,United States,Full-stack web developer,"$120,000 - $140,000",Finance / Banking
0.724625876,11+ years,Thailand,Full-stack web developer,"$20,000 - $40,000",Software Products
0.959186342,11+ years,United States,Back-end web developer,"$140,000 - $160,000",Web Services
0.149265185,11+ years,United States,Embedded application developer,"$100,000 - $120,000",Healthcare
0.541155867,6 - 10 years,Hungary,Front-end web developer,"Less than $20,000",Software Products
0.525848406,11+ years,Canada,Full-stack web developer,"$60,000 - $80,000",Telecommunications
0.055700969,1 - 2 years,Turkey,Database administrator,"Less than $20,000",Software Products
0.360156742,6 - 10 years,United Kingdom,Designer,"$60,000 - $80,000",Education
0.296501485,11+ years,Mexico,Full-stack web developer,"$20,000 - $40,000",Web Services
0.118345004,11+ years,United Kingdom,Full-stack web developer,"$100,000 - $120,000",Education
0.157966363,1 - 2 years,Ukraine,Mobile developer - Android,"Less than $20,000",Software Products
0.584496129,2 - 5 years,Portugal,Back-end web developer,"Less than $20,000",Defense
0.377883336,11+ years,Germany,Full-stack web developer,"$80,000 - $100,000",Consulting
0.090733013,1 - 2 years,India,Full-stack web developer,"Less than $20,000",Software Products
0.070396848,6 - 10 years,Canada,Full-stack web developer,"$80,000 - $100,000",Web Services
0.743555769,11+ years,Nigeria,Full-stack web developer,"Less than $20,000",Software Products
0.725524597,11+ years,United States,Full-stack web developer,"$100,000 - $120,000",Finance / Banking
0.021900913,2 - 5 years,Brazil,Back-end web developer,"Less than $20,000",Software Products
0.619781369,2 - 5 years,India,Full-stack web developer,"Less than $20,000",Consulting
0.930886075,6 - 10 years,United States,Full-stack web developer,"$80,000 - $100,000",Retail
0.315447414,2 - 5 years,Argentina,Front-end web developer,Rather not say,Web Services
0.156270918,1 - 2 years,Bangladesh,Mobile developer - iOS,"Less than $20,000",Software Products
0.216433133,11+ years,Canada,Back-end web developer,"$40,000 - $60,000",Education
0.520893112,2 - 5 years,Portugal,System administrator,"Less than $20,000",Web Services
0.362579518,6 - 10 years,Israel,Full-stack web developer,"$40,000 - $60,000",Software Products
0.147287375,Less than 1 year,Greece,Mobile developer - Android,"Less than $20,000",Software Products
0.238575552,2 - 5 years,Italy,Mobile developer - iOS,"$20,000 - $40,000",Web Services
0.602712032,2 - 5 years,Sweden,Full-stack web developer,"$40,000 - $60,000",Media / Advertising
0.95452911,1 - 2 years,United States,Full-stack web developer,"$60,000 - $80,000",Consulting
0.789823478,11+ years,France,Full-stack web developer,"$80,000 - $100,000",Manufacturing
0.232992331,11+ years,Spain,Full-stack web developer,"$20,000 - $40,000",Government
0.730218941,2 - 5 years,Russian Federation,Desktop developer,"Less than $20,000",Government
0.884246505,6 - 10 years,Canada,Embedded application developer,"$60,000 - $80,000",Manufacturing
0.579942794,6 - 10 years,United States,Graphics programmer,"$20,000 - $40,000",Retail
0.414256852,1 - 2 years,Turkey,Full-stack web developer,"Less than $20,000",Software Products
0.006256631,6 - 10 years,Germany,Desktop developer,Rather not say,Software Products
0.999176041,6 - 10 years,Canada,Developer with a statistics or mathematics background,"$120,000 - $140,000",Healthcare
0.42439303,6 - 10 years,United Kingdom,Front-end web developer,"$120,000 - $140,000",Finance / Banking
0.622007763,6 - 10 years,South Africa,Mobile developer - Android,"$40,000 - $60,000",Software Products
0.833163293,11+ years,United States,Back-end web developer,"More than $160,000",Defense
0.857200213,11+ years,United States,Full-stack web developer,"$140,000 - $160,000",Consumer Products
0.729253722,6 - 10 years,United States,Front-end web developer,"$40,000 - $60,000",Government
0.282056061,11+ years,United States,Full-stack web developer,"$60,000 - $80,000",Finance / Banking
0.231535669,1 - 2 years,Indonesia,Back-end web developer,"Less than $20,000",Web Services
0.381792216,2 - 5 years,India,Full-stack web developer,"Less than $20,000",Web Services
0.493510691,2 - 5 years,India,Front-end web developer,"Less than $20,000",Software Products
0.51077798,2 - 5 years,Finland,Full-stack web developer,"$20,000 - $40,000",Software Products
0.313598651,2 - 5 years,Russian Federation,Front-end web developer,"$20,000 - $40,000",Finance / Banking
0.727061691,11+ years,United Kingdom,Full-stack web developer,"$40,000 - $60,000",Consumer Products
0.479484132,11+ years,United Kingdom,Full-stack web developer,"More than $160,000",Finance / Banking
0.055351351,1 - 2 years,Iceland,Mobile developer - Android,"Less than $20,000",Software Products
0.324362353,2 - 5 years,Sri Lanka,Full-stack web developer,"$20,000 - $40,000",Software Products
0.673270883,11+ years,Canada,Full-stack web developer,Rather not say,Software Products
0.0991728,2 - 5 years,China,System administrator,"$20,000 - $40,000",Internet
0.103963966,1 - 2 years,India,Full-stack web developer,"Less than $20,000",Software Products
0.773610039,2 - 5 years,India,Mobile developer - iOS,"Less than $20,000",Software Products
0.615346801,2 - 5 years,India,Mobile developer - iOS,Rather not say,Software Products
0.305652671,2 - 5 years,United Kingdom,Back-end web developer,"$20,000 - $40,000",Healthcare
0.464528986,6 - 10 years,India,Full-stack web developer,"Less than $20,000",Internet
0.263501932,6 - 10 years,Canada,Full-stack web developer,"$60,000 - $80,000",Software Products
0.916178935,2 - 5 years,Israel,Mobile developer,"$60,000 - $80,000",Gaming
0.982921869,2 - 5 years,United Kingdom,Full-stack web developer,"$40,000 - $60,000",Internet
0.527989865,11+ years,Germany,Back-end web developer,"$60,000 - $80,000",Media / Advertising
0.606562079,6 - 10 years,Switzerland,Database administrator,"$80,000 - $100,000",Finance / Banking
0.194333274,11+ years,Namibia,Full-stack web developer,"$60,000 - $80,000",Software Products
0.710345334,11+ years,Brazil,Full-stack web developer,"$20,000 - $40,000",Government
0.706148717,11+ years,United States,Embedded application developer,Rather not say,Software Products
0.610813926,11+ years,United States,Full-stack web developer,"$80,000 - $100,000",Software Products
0.306091711,11+ years,United Kingdom,Full-stack web developer,"$40,000 - $60,000",Finance / Banking
0.251163465,11+ years,Belgium,Full-stack web developer,"$80,000 - $100,000",Government
0.273905347,1 - 2 years,India,Back-end web developer,"Less than $20,000",Healthcare
0.988413661,2 - 5 years,United States,Mobile developer - iOS,Rather not say,Foundation / Non-Profit
0.171690932,11+ years,Switzerland,Embedded application developer,"$120,000 - $140,000",Telecommunications
0.025844483,1 - 2 years,India,Mobile developer - iOS,"Less than $20,000",Software Products
0.863724479,11+ years,United States,Full-stack web developer,"$100,000 - $120,000",Media / Advertising
0.425271591,2 - 5 years,Germany,Full-stack web developer,"$40,000 - $60,000",Healthcare
0.422779292,6 - 10 years,Germany,Back-end web developer,"$40,000 - $60,000",Software Products
0.640585591,6 - 10 years,United States,Full-stack web developer,"$140,000 - $160,000",Consulting
0.638583831,11+ years,Denmark,Designer,"$60,000 - $80,000",Gaming
0.772901125,2 - 5 years,United States,Full-stack web developer,"$60,000 - $80,000",Education
0.437244399,1 - 2 years,Bosnia Herzegovina,Back-end web developer,"Less than $20,000",Software Products
0.866936792,11+ years,United Kingdom,Developer with a statistics or mathematics background,"More than $160,000",Finance / Banking
0.602439103,2 - 5 years,United States,Embedded application developer,"$80,000 - $100,000",Defense
0.384565203,2 - 5 years,Switzerland,Student,"$40,000 - $60,000",Foundation / Non-Profit
0.366868502,11+ years,United Kingdom,"Executive (VP of Eng., CTO, CIO, etc.)",Rather not say,Internet
0.457606088,6 - 10 years,France,Full-stack web developer,"$60,000 - $80,000",Media / Advertising
0.033624187,2 - 5 years,United States,Front-end web developer,"$80,000 - $100,000",Web Services
0.205590116,11+ years,Japan,Full-stack web developer,"$20,000 - $40,000",Internet
0.155281559,11+ years,United States,Back-end web developer,"$80,000 - $100,000",Government
0.165585343,6 - 10 years,Greece,Full-stack web developer,"$20,000 - $40,000",Internet
0.218021701,2 - 5 years,India,Mobile developer - Android,"Less than $20,000",Education
0.995255193,6 - 10 years,Latvia,Mobile developer,"$40,000 - $60,000",Telecommunications
0.281191413,11+ years,Mexico,Mobile developer,Rather not say,Media / Advertising
0.306122198,6 - 10 years,Estonia,Full-stack web developer,"$20,000 - $40,000",Web Services
0.432215109,2 - 5 years,N/A,Full-stack web developer,"$20,000 - $40,000",Software Products
0.838862107,2 - 5 years,United States,Full-stack web developer,Rather not say,Web Services
0.795535949,1 - 2 years,United States,Embedded application developer,"$80,000 - $100,000",Defense
0.961378655,Less than 1 year,Korea South,Mobile developer - Android,Unemployed,Gaming
